id,s,c,c6
12086,FL,Miami-Dade County,33
20195,KS,Trego County,32
48427,TX,Starr County,32
48489,TX,Willacy County,30
48047,TX,Brooks County,30
36047,NY,Kings County,30
48249,TX,Jim Wells County,29
48215,TX,Hidalgo County,29
12093,FL,Okeechobee County,28
40023,OK,Choctaw County,27
22117,LA,Washington Parish,27
21051,KY,Clay County,27
48131,TX,Duval County,27
47151,TN,Scott County,26
21025,KY,Breathitt County,26
21115,KY,Johnson County,26
46017,SD,Buffalo County,26
22035,LA,East Carroll Parish,26
48247,TX,Jim Hogg County,26
22091,LA,St. Helena Parish,26
22021,LA,Caldwell Parish,26
26163,MI,Wayne County,25
40089,OK,McCurtain County,25
21119,KY,Knott County,25
48061,TX,Cameron County,25
48387,TX,Red River County,25
21193,KY,Perry County,25
47049,TN,Fentress County,24
47095,TN,Lake County,24
51720,VA,Norton City,24
21133,KY,Letcher County,24
39145,OH,Scioto County,24
21013,KY,Bell County,24
21071,KY,Floyd County,24
22115,LA,Vernon Parish,24
51051,VA,Dickenson County,24
46049,SD,Faulk County,24
21237,KY,Wolfe County,24
48323,TX,Maverick County,24
40057,OK,Harmon County,24
21217,KY,Taylor County,24
54045,WV,Logan County,24
47013,TN,Campbell County,24
36005,NY,Bronx County,23
54059,WV,Mingo County,23
42087,PA,Mifflin County,23
12053,FL,Hernando County,23
21131,KY,Leslie County,23
21153,KY,Magoffin County,23
22039,LA,Evangeline Parish,23
29187,MO,St. Francois County,23
54047,WV,McDowell County,23
01105,AL,Perry County,23
34029,NJ,Ocean County,23
22105,LA,Tangipahoa Parish,23
48147,TX,Fannin County,23
40141,OK,Tillman County,23
12027,FL,DeSoto County,23
12101,FL,Pasco County,23
26049,MI,Genesee County,23
22083,LA,Richland Parish,23
21183,KY,Ohio County,23
36081,NY,Queens County,23
26099,MI,Macomb County,23
48351,TX,Newton County,23
12049,FL,Hardee County,23
48181,TX,Grayson County,23
48241,TX,Jasper County,22
48005,TX,Angelina County,22
21077,KY,Gallatin County,22
51195,VA,Wise County,22
22009,LA,Avoyelles Parish,22
48505,TX,Zapata County,22
34011,NJ,Cumberland County,22
48291,TX,Liberty County,22
12055,FL,Highlands County,22
40069,OK,Johnston County,22
21159,KY,Martin County,22
21189,KY,Owsley County,22
34017,NJ,Hudson County,22
21195,KY,Pike County,22
40013,OK,Bryan County,22
22097,LA,St. Landry Parish,22
39131,OH,Pike County,22
47025,TN,Claiborne County,22
12013,FL,Calhoun County,22
13069,GA,Coffee County,22
39079,OH,Jackson County,22
54055,WV,Mercer County,22
21019,KY,Boyd County,22
22123,LA,West Carroll Parish,22
48277,TX,Lamar County,22
21125,KY,Laurel County,22
39101,OH,Marion County,22
26017,MI,Bay County,22
12083,FL,Marion County,22
48245,TX,Jefferson County,22
48273,TX,Kleberg County,22
20109,KS,Logan County,22
21205,KY,Rowan County,22
12011,FL,Broward County,21
13005,GA,Bacon County,21
54015,WV,Clay County,21
40055,OK,Greer County,21
47045,TN,Dyer County,21
21043,KY,Carter County,21
01047,AL,Dallas County,21
13299,GA,Ware County,21
21095,KY,Harlan County,21
48205,TX,Hartley County,21
22041,LA,Franklin Parish,21
20063,KS,Gove County,21
13183,GA,Long County,21
47033,TN,Crockett County,21
29221,MO,Washington County,21
13271,GA,Telfair County,21
47175,TN,Van Buren County,21
21081,KY,Grant County,21
12097,FL,Osceola County,21
48449,TX,Titus County,21
40033,OK,Cotton County,21
17091,IL,Kankakee County,21
39023,OH,Clark County,21
40005,OK,Atoka County,21
12077,FL,Liberty County,21
48391,TX,Refugio County,21
22003,LA,Allen Parish,21
48125,TX,Dickens County,21
05011,AR,Bradley County,21
21223,KY,Trimble County,21
48355,TX,Nueces County,21
29155,MO,Pemiscot County,21
48175,TX,Goliad County,21
39095,OH,Lucas County,21
17127,IL,Massac County,21
05067,AR,Jackson County,21
01013,AL,Butler County,21
13287,GA,Turner County,21
21121,KY,Knox County,21
39081,OH,Jefferson County,21
12099,FL,Palm Beach County,21
28021,MS,Claiborne County,21
12007,FL,Bradford County,21
12095,FL,Orange County,21
39053,OH,Gallia County,21
42067,PA,Juniata County,21
26147,MI,St. Clair County,21
34001,NJ,Atlantic County,21
48409,TX,San Patricio County,21
21059,KY,Daviess County,21
29099,MO,Jefferson County,21
47039,TN,Decatur County,20
29045,MO,Clark County,20
39093,OH,Lorain County,20
47075,TN,Haywood County,20
22011,LA,Beauregard Parish,20
12003,FL,Baker County,20
22073,LA,Ouachita Parish,20
13283,GA,Treutlen County,20
12105,FL,Polk County,20
21147,KY,McCreary County,20
21061,KY,Edmonson County,20
39003,OH,Allen County,20
48025,TX,Bee County,20
48321,TX,Matagorda County,20
39007,OH,Ashtabula County,20
13065,GA,Clinch County,20
29143,MO,New Madrid County,20
21089,KY,Greenup County,20
29510,MO,St. Louis City,20
42101,PA,Philadelphia County,20
13003,GA,Atkinson County,20
01127,AL,Walker County,20
48119,TX,Delta County,20
37093,NC,Hoke County,20
21235,KY,Whitley County,20
21129,KY,Lee County,20
40009,OK,Beckham County,20
39141,OH,Ross County,20
37155,NC,Robeson County,20
54005,WV,Boone County,20
39087,OH,Lawrence County,20
28077,MS,Lawrence County,20
22127,LA,Winn Parish,20
20051,KS,Ellis County,20
26151,MI,Sanilac County,20
40029,OK,Coal County,20
21015,KY,Boone County,20
47111,TN,Macon County,20
42079,PA,Luzerne County,20
40065,OK,Jackson County,20
39153,OH,Summit County,20
32017,NV,Lincoln County,20
22027,LA,Claiborne Parish,20
21073,KY,Franklin County,20
48457,TX,Tyler County,20
21191,KY,Pendleton County,20
40031,OK,Comanche County,20
47067,TN,Hancock County,20
39119,OH,Muskingum County,20
28003,MS,Alcorn County,20
13153,GA,Houston County,20
26115,MI,Monroe County,20
18053,IN,Grant County,20
34013,NJ,Essex County,20
48343,TX,Morris County,20
13309,GA,Wheeler County,20
22001,LA,Acadia Parish,20
21023,KY,Bracken County,20
06037,CA,Los Angeles County,20
12005,FL,Bay County,20
12009,FL,Brevard County,20
13049,GA,Charlton County,20
12015,FL,Charlotte County,20
21181,KY,Nicholas County,20
48013,TX,Atascosa County,20
13319,GA,Wilkinson County,20
21041,KY,Carroll County,20
42021,PA,Cambria County,20
12107,FL,Putnam County,20
48255,TX,Karnes County,20
12057,FL,Hillsborough County,20
21063,KY,Elliott County,20
26157,MI,Tuscola County,20
37017,NC,Bladen County,20
13119,GA,Franklin County,20
12103,FL,Pinellas County,20
54019,WV,Fayette County,20
34009,NJ,Cape May County,20
36037,NY,Genesee County,20
48199,TX,Hardin County,20
26125,MI,Oakland County,20
21039,KY,Carlisle County,20
47071,TN,Hardin County,20
48163,TX,Frio County,20
22081,LA,Red River Parish,20
21187,KY,Owen County,20
12031,FL,Duval County,20
48407,TX,San Jacinto County,20
48127,TX,Dimmit County,20
54039,WV,Kanawha County,20
18175,IN,Washington County,20
36059,NY,Nassau County,20
54081,WV,Raleigh County,20
36057,NY,Montgomery County,20
01063,AL,Greene County,20
29175,MO,Randolph County,20
48469,TX,Victoria County,20
40077,OK,Latimer County,20
21117,KY,Kenton County,20
28065,MS,Jefferson Davis County,20
54035,WV,Jackson County,20
34041,NJ,Warren County,20
13175,GA,Laurens County,20
48239,TX,Jackson County,20
18089,IN,Lake County,20
01021,AL,Chilton County,20
37047,NC,Columbus County,20
42095,PA,Northampton County,20
